,Comment
346,Learned so much about git and github from this video.thank you so much maam.
347,How to pay for the course for international students? <br>It’s already started on 24 dec don’t want to miss but don’t know where to contact.
348,Thank you
349,Thx mam!
350,i was deleted the vs code terminal ----&gt; how can i get connected into the git repo
351,THANKS FOR THE VIDEO
352,mam can you please make a tutorial on freebsd porting??
353,I was roaming for Git here and there but finally I got it all. Thanks Apna College.
354,"Totally sql practical<br><br><a href=""https://www.youtube.com/@dotnetsqlmaster?sub_confirmation=1"">https://www.youtube.com/@dotnetsqlmaster?sub_confirmation=1</a>"
355,Anyone please share the drive link of the notes 🙏🙏
356,git bash is showing this problem &quot;bash: cd: too many arguments&quot; when I run the cloneing command
357,"didi I am not able to open git , actually i am stuck at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1180"">19:40</a> Git Bash is not loading/ opening i checked in cmd it showing proper version and all but my git bash terminal is not loading or i am not able to see it on my laptop. Is it probably because of Virtual box ?? Please help asap"
358,In the windows how to show hidden file using terminal commend ??
359,"Thanks, for this course."
360,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1648"">27:28</a>  For those who are facing to see hidden files in Vs code<br>use these commands (dir -h) or ( ls -hidden)"
361,Thank you Shraddha Didi for making this tutorial on Git and GitHub
362,"thank you. Really Really impressed by your teaching style. and thank you because you start this you tube community to grow this coding , and  teach young youth coding. thank you"
363,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1934"">32:14</a>"
364,ماشاءاللہ بہت زبردست ویڈیو ہے۔ آپ سے گزارش ہے کہ آپ  Grid Layout پر بھی تفصیلی ویڈیو بنائے۔
365,☘️☘️
366,Thank you very much maam
367,please make tutorial using SSH
368,@ApnaCollegeOfficial Sharda please use only Git base if you are going to git and github not VS terminal because i am using Android Studio so i need to learn only with help of Git base.
369,kind share the git demo file
370,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=690"">11:30</a>"
371,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2376"">39:36</a>"
372,when i try to push it ask me to enter username and password
373,This is a perfect video I was searching for git.<br>Thankyou so much 😊
374,Too basic.. Not good enough to get any job. In one hour she has just completed git pull and push.
375,"For those are facing the problem command (ls -a).Open the Terminal dropdown (next to the + icon) and select Select Default Profile. This will open a list of available shells, including Git Bash. Selecting Git Bash will set it as your default shell, and all future terminals will be opened with Git Bash."
376,Please make videos for how to start learning mern stack
377,not showing .git when i use ls -a command
378,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2378"">39:38</a> Init Command"
379,Thankyou so much mam😊
380,thank you so much didi
381,Please make a tutorial video for vs code🥲
382,Make a tutorial on React js
383,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1510"">25:10</a>"
384,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1399"">23:19</a>"
385,"Very Nicely explained concepts, i am commenting after watching 3 other videos, before i found this tutorial."
386,Always Greateful to have u as a All Rounder Mentor in My Coding Journey . ..Thank YOU...❤❤!!!<br>Didi please kindly share the  🔗 link of the slides 📖 used in this tutorial apart from the shared notes provided on Apna College websites.
387,imagine how it feels when you already watch in 2x speed and the video itself turns 2x speed 😂😂🤣🤣🤣🤣🤣🤣
388,Thank you very much Shradha didi
389,I have terminal on my window.<br>Can I use that instead of git bash
390,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3606"">1:00:06</a>"
391,when i add origin it shows me error: remote origin already exists... pls anyone tells me why ?
392,"thanks for the video. One suggestion is , after git reset, you can use git restore to actually reflect back to previous version of code. specially if you deleted/modified something."
393,well explained
394,Just PERFECT !! Thanks a lot for the awesome content.
395,You can also use &quot;ls -Hidden&quot; to extract hidden files as &quot;ls -a&quot; is outdated in cmd
396,thank you didi @ApnaCollegeOfficial
397,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1212"">20:12</a> -&gt; git config"
398,"<a href=""http://www.youtube.com/results?search_query=%23stopvivekbindra"">#StopVivekBindra</a><br><a href=""http://www.youtube.com/results?search_query=%23stopscambusiness"">#StopScamBusiness</a>"
399,pls when is  the video  in another language add Hindi at least than we can skip
400,Reposotary😪
401,"Fan aur van tho hum prabhu k hai, baki padati sahi hai,"
402,Ma&#39;am you are awesome 😊
403,Thanks ma&#39;am!!
404,ls -a is giving errors in windows also % sign is not visible in windows on terminal in VS code
405,"vdo at ::::::___---------<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3520"">58:40</a> i dont have that option of (feature1 has recent pushes 1 min age) that PULL REQUEST <br>wala option"
406,"Hats off to the patience level , even explaining cd command , mai to itna batana pde to gussa krne lgu 😅😅😅"
407,She normally speaks so fast and when 2x speed mode is initilized it seems so funny. But this is an informative video for the beginners who want to know about Git and GitHub.
408,"Got confused regarding the folder opened at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1398"">23:18</a>. Can someone please clear how that folder was made or added."
409,Thank you madam for explaining about git n git hub can u please do video tutorials on Devops course
410,👏❤
411,ls -a work nhi kr rha h
412,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2549"">42:29</a>"
413,Nice tutorial
414,Thank you Apna College <br>really simple and easy to understand from basics
415,"Any course link for AI, Chat Gpt for no technical"
416,Cheat sheet kaha pr he????
417,Nice Explanation 👍
418,Thank you ma&#39;am.
419,ls -a is not working
420,Microsoft acquired GitHub in 2018 for $7.5 billion in stock.
421,Pls do videos in English
422,Your efforts are bigger than your age. PROUD OF YOU.
423,In the year 2004 I met a person and asked him to introduce himself. He started with I am &quot;Mr.&quot; Sachin  Kumar.<br>I along with few more were astonished to see such a (self-punchy) start.<br><br>AND YOU ARE THE SECOND after that. I am Shraddha &quot;Didi&quot;.
424,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3300"">55:00</a>"
425,Thank you for this course
426,Thank you. It is really very helpful tutorial
427,didi apne terminal open kese kiya hai
428,great video didi thanks you so much
429,Starting 11/12/23
430,Thanks 👍
431,for those having problem when git diff main is run so there is endless loop to escape it type q in window
432,git push origin main... nahi ho raha. master branch dhikhai de raha hai?
433,is homebrew is neccessory for mac m1 for coding. please answer
434,Thank you.!
435,cheat sheet link please
436,Mam make a video on how to use guthub wirh intellij 🙏🙏🙏🙏
437,Thank you soooo much for this detailed tutorial in easy words
438,Can&#39;t find GitHub notes can u anyone provide notes pdf pls
439,Thank you didi
440,"Very well explained,  the key parts of git and github. ❤👏"
441,🙏🙏🙏
442,"mam, at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1280"">21:20</a> it&#39;s user&#39;s home directory not root directory"
443,AWESOME
444,"Trust me, It is the one of the best tutorial on git and github on youtube!!"
445,didi te haat par farre banaya hai 😂😂😂😂
446,Useful 😊
447,Note file link is broken! Great Video!
448,I&#39;m not able to get my GIT Repository on my local computer . Can anyone please help ?
449,Ager me kaam ko chod ke jaunga toh kiya muje baar baar clone Banna padega
450,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1901"">31:41</a><br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2372"">39:32</a>"
451,"Thank you so much for this video.  If you add stash in this video, it will also be good. I am giving you thanks from bottom of my heart. God bless you ."
452,Should have just re-upload video from Freecodecamp. Complete ripoff from structure of video to minute examples used.
453,Please make part of it so that it covers advance concept like stashes and much more.
454,"Dear Shraddha,<br>Request you to make video on making  latest python projects  for working professional to improve  knowledge."
455,Thank you so much.<br>Easy to understand.<br>crisp and clear 😀🙌
456,Slow.. <br>Slow.. <br>Sloooooowwww
457,Thank you !
458,How to upload/share your projects on github??
459,maine kiya git branch to main hi aaraha hai apka kaise master aaya
460,"thanks a lot, shardha didi, for this amazing git tutorial😊"
461,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=360"">6:00</a> min"
462,beutiful voice
463,very informative session
464,"Awesome <a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>"
465,ls -a command is not working in vs code why? But it working in Git Bash Why?<br><br>What will I do??
466,Very nice tutorial in short but effective 5 stars
467,Guys while i have parllely tried to do the same i have encountered few errors just used gpt it made me understand the problems more proficiently.Mam that&#39;s a another excellent work of yours.
468,This is the best git tutorial on youtube
469,Great tutorial
470,Awesome explanation...thank you so much
471,"since you are using a mac machine you showed full tutorial in mac, but you should also have had shown immediately its hands on in windows too"
472,"why are you showing git tutorial using VS Code, if you wanna teach pure Git things, show Git Usage using Command Prompt na rather than Vs Code terminal."
473,38
474,ls -a cmd doesn&#39;t run on the termianl. Why is it so?
475,You are doing so well things for the society and peoples thank you
476,Please make same topic video using eclipse ide .
477,great
478,"For those people, who are complaining that ls -a command is not working in their system : &quot;You have downloaded Git Bash but in your vs code terminal you are using Powershell so, switch Powershell to Git Bash. Everything will resolve ❤."
479,Mam talking too much engagement example 😅 to explain
480,Thank You 😊!! Please make video on Postman
481,"pace bahot fast hai apaka, you should slow it down little bit, I have tried playing in .75 but its just seems fake..."
482,Thank you ma&#39;am.
483,Thank You ❤❤
484,Excellent tutorial on Git Thank you
485,"Thanks, Shradha for the great class."
486,thankyou so much for the info I just watched the full video its super easy and informative
487,Thanks for the sharing such good topic and the content. Keep sharing those things.🙂
488,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=990"">16:30</a>"
489,Thank you ❤❤
490,helpful video
491,Ma&#39;am it says &quot;Fatal: no such git repository&quot; when I type git status. But I am doing as you said. Please explain?🙏
492,धन्यवाद दीदी ❤
493,Hi...From Pakistan .. Your Teaching Ability is just next level and simple so that anyone can understand.. Learned so much from your channel .
494,👌👍
495,Madam... Please teach in English language so that all language people in India can understand the subject.
496,Git push origin main is not working plz tell me how to fix it
497,One shot video is awesome 😍
498,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1830"">30:30</a>"
499,"didi thanks so much,education ka symbol aap ho"
500,thanks for the tutorial.....
501,Great Miss. You have done amazing job. I have take your full lecture. very helpful.
502,I am big fan of sardha didi
503,Didi mat Bola karo  plz  31 ki umar vale bhi dhekhte hai aapka video
504,❤❤
505,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a>- Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a>- Git Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=300"">5:00</a>- GitHub Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=445"">7:25</a>- Setting Up GitHub<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=986"">16:26</a>- Setting Up Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1213"">20:13</a>- Configuring Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1383"">23:03</a>- Working with VS Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1442"">24:02</a>- Clone and Status<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1943"">32:23</a>- Add and Commit<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2155"">35:55</a>- Push Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2371"">39:31</a>- Init Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a>- Work Flow<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2976"">49:36</a>- Git Branches<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3085"">51:25</a>- Branch Commands<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3355"">55:55</a>- Merging Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3432"">57:12</a>- Pull Request<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3616"">1:00:16</a>- Pull Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3650"">1:00:50</a>- Resolving Merge Conflicts<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3931"">1:05:31</a>- Undoing Changes<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4284"">1:11:24</a>- Fork"
506,thanks
507,Thank you so much Shraddha didi &lt;3
508,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2531"">42:11</a>"
509,Plz do a video for performing crud operation in windows form using C# language and restful api
510,can you provide english subtitles for the explanation of videos
511,How to find Hidden File in Windows in Mac WE use  ls -a but in windows what we have to use to see hidden file ?please respond anyone
512,thank you so much...very useful
513,Thank You mam
514,Learning this on Diwali 😊<br>Happy Diwali Guys 🪔🪔🎆🎇🙏✨🪷❤️
515,"I am facing difficulty in running the reset command using the hash of the commit, please help."
516,That ln -a is not working in windows
517,"when i type          ls -a<br>its show me this <br>can anyone help??<br><br><br>Get-ChildItem : Parameter cannot be processed because the parameter <br>name &#39;a&#39; is ambiguous. Possible matches include: -Attributes         <br>-Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem],  <br>   ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShel  <br>   l.Commands.GetChildItemCommand"
518,gitdemo folder is not created in my local.
519,"Thanks for the video, but please add milestones in the video, so that intermediates don&#39;t waste their time watching already known topics!"
520,ls -a command is not working
521,Thank you Shradha didi and Apna college for this amazing tutorial of git and  GitHub. One of the best video on tutorial of git &amp; GitHub in YouTube for beginners.
522,Videos banane ke liye screen recorder kaunsa acha hai..Pls suggest
523,Thank you !
524,"Simply amazing tutorial - I can feel the confidence in her teaching and that&#39;s what makes it easy to learn and retain the knowledge. Thanks a lot. (not a complain but do you think we miss <a href=""http://www.youtube.com/results?search_query=%23git"">#git</a> log command? I heard it&#39;s used a lot)"
525,Can you make video tut. on buildroot linux or yocto
526,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/jPgfY5j2IIud29sP3ZeA4Ag""></a>"
527,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3300"">55:00</a> branch"
528,OMG commit and add krte krte puri zindagi nikal jayegi.
529,Thanks for this very good information about git and github
530,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3645"">1:00:45</a>"
531,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2378"">39:38</a>,<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2980"">49:40</a>"
532,thanks for the tutorial
533,Thanks didi ❤️
534,Make English videos plz
535,"<b>Here is a tip</b><br>Use &quot;Ctrl + L&quot; (for windows)<br>        &quot;Cmd + K&quot; (for mac)<br><br>To clear the terminal"
536,lanat aa tera ty khuty dy bachi aa
537,"I wonder, how the process of acquiring all this knowledge, for you, must be. Super impressive delivery and great passion for imparting knowledge. Loved it!"
538,thank u..very helpful...
539,You talk too fast
540,while I&#39;m doing git status in our vs code windows system  fatal: not a git repository (or any of the parent directories): .gits): .git    <br>this message is printed not like you so how can I resolve this and why does this happened..
541,"At <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3149"">52:29</a> In my terminal inside VS code, I&#39;m getting error when I type git branch checkout -b feature1. Please help 🙏"
542,It helped me a lot Thank you so much
543,I am getting an error in terminal<br>Fatal : not a git repository ( or any of the parent directories ) <br><br>Even after configuring<br>Windows - vs code
544,Where is the cheat sheet ? If anyone finds it pls tell me.
545,"THANK YOU SO MUCH FOR THIS TUTOTRIAL, I was so confused with the git commands but your explanation was so easy to understand and follow along!"
546,We need JavaScript ONe SHOT . Thank you.
547,"ls -a is not working for me at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1650"">27:30</a>"
548,thanks
549,waste of time
550,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2343"">39:03</a> Local (VSCode ) to Remote (Github) process starts.."
551,🔥🔥🔥🔥🔥
552,github ko data analyst wale use kr skte h mam.?
553,Amazing
554,"php vs python for backend which will be best? <br>i know every languages are best at their own , but i want a genuine answer.."
555,this is nice
556,"If we have made some changes in our code, and we realize that we&#39;ve completely messed it up, however, we neither have added the code in staging area nor have we committed it. We only want to go to the initial state from where we had started modifying the file. How can we do that?"
557,too much informative. jb ham start me project bnaty us me html css k sath java bhi use krni ho us se related guide kr den ya video upload kr den kindly
558,"Mam im getting problem in vs code its showing git is not recognised, what to do?"
559,"how to access terminal in vs code from gitbash  that shows in  <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1427"">23:47</a>"
560,Thank You !
561,"Hi ! Thanks a lot for this video. This was consolidated very well.  are commands like git stash, git bisect, cherrypick  used at all? Since i see they are not covered in this video."
562,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/CIW60IPp_dYCFcuqTgodEu4IlQ""></a>❤❤❤❤❤❤❤❤❤❤"
563,Best!
564,"i don&#39;t know why ma&#39;am but when we see you , we are get motivated that we can do anything <br>truly spreaking ma&#39;am 😊😊😊😊😊😊😊😊😊😊"
565,&quot;mein hu aapki shradha didi&quot; mere ae 20 saal choti ho tum <br>.. didi kahan se ho gayi
566,thank you for clear explanation
567,Plz make video on Linux command as well.. 🥲🥲 Thanks you..!! 😊
568,mam android development course using kotlin
569,Can you please tell about the &quot;issues&quot; tab on github as well?
570,Where is the cheat sheet
571,nice👌
572,Thank u Mam it&#39;s mattered to me very meaningfully 🙏. i&#39;m really thankful to u mam
573,sharda didi aap best teacher ho
574,Thank you! I actually learned Git and Git hub in an hour with your tutorial.
575,Github chhordo skincare routine bta do
576,Git is not accessible in  myy vs code terminal.
577,this is one of the best tutorial for git and git hub because every one can confuse the student but  shradhha mam explained well in very decent mannert
578,"My time stamp - <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=896"">14:56</a>"
579,please make a video on MobgoDB by shradha didi
580,Thank You So Much Didi for wonderful Session..☺
581,Not getting index.html in github repo after everything I have done
582,very helpful
583,Thank you shraddha mam ❤
584,is GITDEMO is normal folder created in desktop or anyhow connected to git
585,Devops tutorial bhi dedo dii please
586,Now  I finally  Learn Git and Github. Thank you .
587,Please teach tutorials of Dart Language 🙏🏼
588,"Hello at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1684"">28:04</a> as in my windows 11 system &quot;ls - a&quot; did not work --- I had done exactlly as said in the video -- why so happened -- please can anyone  tell ???🙏🙏🙏 pls"
589,Really good video
590,"ls -a command displays this error <br>Get-ChildItem : Parameter cannot be processed because the parameter <br>name &#39;a&#39; is ambiguous. Possible matches include: -Attributes<br>-Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem],  <br>    ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShe  <br>   ll.Commands.GetChildItemCommand"
591,please one short on javascript
592,"Maam, the way you teach is excellent"
593,Ray-po-zee-Tary ? Aapko nhi lagta aapki pronounciation kuch galat hai?😅😅😅
594,could you please provide english subtitles for your content 😭
595,Awesome!
596,This was a great tutorial. Thank you maam. <br>Can you do the tutorial on CI/CD integration.
597,Thanks to Apana College⭐
598,vs code me json error ko fix kese kre...?
599,best videoo
600,thanx
601,"whah madam whah, very good teaching... Jai Telangana. jai India."
602,Testers bhi is video ko follow kar sakte hai kya
603,❤‍🔥
604,osm lecture
605,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2687"">44:47</a>"
606,"Hi Shradha, Today i started learning about Git and GitHub...I followed all the points as per your video and i got stuck in one place that the files/folders created in GitHub are not showing when i used Visual Studio to search for my repository demo folders....Result showing as No Match found....Kindly guide...."
607,tysm
608,great info thank you so much...
609,good video thanks
610,bad recording with this 50k shure mic. but good video :)
611,Thanku ❤
612,"Hello, this is a best video to learn basics of Git. Can you please explain commit amend command in simply way. Thanks"
613,Completed 😊
614,"It was a fab video, crisp and clear, understood each and every part of it.  thanks a ton.."
615,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1631"">27:11</a> No Showing hidden file show below msg<br><br>Get-ChildItem: Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes -Directory -File -Hidden -ReadOnly -System."
616,World without INDIANS would have been Hell for PROGRAMMERS
617,Is it necessary to download VS code can&#39;t it go with anaconda-jupyter notebook?
618,Thank You Didi it was a very informative and really really helpful video.
619,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=53"">0:53</a>"
620,please do similar video on vs code <br>its to confusing with all the things in it
621,Thankyou Shardha Didi
622,"For VS code, shall we use user installer or system installer?"
623,Waah did waah aapka jawab nahi. finest video 👌
624,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1309"">21:49</a>"
625,An easy-to-understand tutorial on Git and Gihub
626,Best explanation. Can you please create same fast track tutorial on Jenkins?
627,"When video playback runs on 2x speed and unable to understand it, make playback 0.75x from the YouTube."
628,"I get this error when using ls -a command in vs code terminal on windows pc, pls help <br><br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes -Directory     <br><br>-File -Hidden -ReadOnly -System."
629,"Thank you for bringing this wonderful video, just finished this video now, thanks a lot..."
630,Thank You
631,thank you so much didi for your efforts
632,@ApnaCollegeOfficial Can you please create the serious for Go Programming Language and Go Test need this for my project.🙏
633,"Good explanation,  you have very good command on the tool"
634,"Hi Mam, can you make video on Socket in Node.JS with room, namespace, broadcasting (in detailed) ??"
635,Thank you soo much.
636,good work.
637,"The content was amazing and your voice and pronunciation is amongst one of the best of all the creators on youtube. Kudos to the good work.<br><br> I just had a doubt towards the end of the course.  when we did git reset index.html @<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3993"">1:06:33</a> the staged changes were brought back and they were no more staged. but then  how to get back the deleted line?<br><br>Here it was just one line so I remembered the line exactly but if there are many such lines in the files that needs to be reversed than what is the next step?"
638,Extremely useful. I appreciate the efforts.
639,ls -a is not working for me .can anyone resolve for me
640,Please help
641,I can&#39;t access my git from vs code jb <br>git -- version likhta hu to the term git is not recognized likh ke ata h
642,since last 3 days i just sawing error but now my problem is fixed thanks didi for giving us this kind of helpful tutorials
643,Thank you so much excellent tutorial 🎉
644,"very useful, thank you for this quality content 😇"
645,"such a awesome video didi, It really helpful for me"
646,this video is so much useful for beginner just like me thanks a lot di
647,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a> pe  jo workflow btaya hai ki local Repo ke sath kaam kese kare but ye toh Remote Repo ke sath kaam karne ka workflow hai  please help mam se kahi mistake toh nhi ho gyi yah me galat hu ..."
648,"didi  <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1718"">28:38</a> khapra chagne karke apna college na likh ke dhattarwal rakh dete to aur accha  hota nah 😁❤"
649,@apnacollege did git branch -b work nhi kr raha <br>koi or solution dijiye pls
650,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1427"">23:47</a>"
651,"On using git branch, it doesn&#39;t show master instead cursor comes on next line"
652,git checkout -b new_branch     --&gt; Is se new branch create hoke us branch ka selection ho jata hai as a current branch.<br><br>git branch -b new_branch        --&gt; Is se new branch create hoti hai.
653,Why doesn&#39;t &quot;ls -a&quot; in microsoft?
654,Gitlab CI CD please make a video
655,Wow.amazing...thanks didi
656,nice❤
657,Thank you Shradha didi... For your wonderful presentation
658,rebase &amp; cherry pick are omitted in this video
659,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3000"">50:00</a>"
660,Very nice tutorial
661,Please make another video on DevOPs
662,hello you are explaining excellent but please speat little slow
663,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4180"">1:09:40</a><br>Trick to remember::<br>We may read `git reset HEAD~1` as &quot;git reset head minus one&quot;.<br><br>I hope it may be helpful.<br>😃👍"
664,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3900"">1:05:00</a> RESET and more to undo changes"
665,"Thanks Shraddha, this helped me while preparing presentation on GIT"
666,I can&#39;t see class note for this lecture
667,Thanks a lot for this video This has really clear the concepts of GIT
668,Completed
669,"{ ls -a } is not working . It says : <br>Help..Plz..!🙏<br><br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is <br>ambiguous. Possible matches include: -Attributes -Directory -File -Hidden -ReadOnly    <br>-System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingEx <br>   ception<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChil <br>   dItemCommand"
670,There is problem in modifing and it is not following the command push as i am working on Microsoft
671,nice ..............................tq
672,❤❤❤❤
673,Very nice explanation ❤
674,Thanks😊
675,For those whose faced issue while using &quot;ls -a&quot; command in VS Code on windows <br>just change your terminal form powershell to gitbash <br>to do this just type &quot;bash&quot;<br>&amp; then you can use the same command
676,Kisi ne notes dwnld kiya h to plss share kr do
677,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3653"">1:00:53</a>"
678,"thank you sooooo much. I was looking for this for a while, you saved me  <a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hf90Xv-jHeOR8gSxxrToBA""></a>"
679,"Wow, thankyou so much."
680,Thank You So Much dii😄😃
681,Don&#39;t we need to install the git-bash extension in the VS Code to use Git commands from the Terminal?
682,One Tutorial For Linux
683,I have a requeste please bring a javascript series. I have learnt a lot from your github tutorial. This really helpful for beginners to understand and start using of github. Thanks sharadha Di😊
684,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a> - <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=975"">16:15</a> basic github<br>installing github and vs code till <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1180"">19:40</a> from 18: 20<br>Configuring git from 20: 17  23 :10<br> from <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1390"">23:10</a>"
685,Very nice tutorial given by shradhdha mam. Thanks
686,Now no need to update the Branch name as by default it returning the Main Branch 😊😊
687,"Great ma&#39;am but during Commit my automation project I found below warning regarding POM.xml File<br>warning: in the working copy of &#39;pom.xml&#39;, LF will be replaced by CRLF the next time Git touches it<br><br>will it affect something on Git hub?"
688,In  VS-Code while opening GITDEMO file when did we create GITDEMO file. As I am not able to find the folder in my laptop. I have followed all the steps showed in the video.
689,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3080"">51:20</a>"
690,Ma&#39;am ls -a not working what should I do
691,Thanks
692,Thank You Mam
693,"Hatssoff to our sharddha didi. for teaching the whole git github in one tutorial.<br>i am not able to understand the git as scartch but now can learn it fully,....."
